CD_MUNICIPIO;NR_ZONA;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_TERCEIRA_VIA
27693;14;200;391;0.0
28738;12;292;587;0.0
27294;20;242;105;0.0
27049;46;321;153;0.0
28096;9;897;468;0.0
28134;11;357;366;0.0
27057;22;1712;5364;0.0
28673;51;396;1417;0.0
27065;18;254;616;0.0
28452;14;559;354;0.0
28517;28;156;543;0.0
28118;53;374;624;0.0
28576;8;254;450;0.0
27073;6;1478;2148;0.0
27618;45;633;404;0.0
28770;8;469;336;0.0
28070;29;116;459;0.0
28452;14;655;489;0.0
27316;27;267;209;0.0
27510;49;473;323;0.0
27693;14;126;120;0.0
27855;54;6257;5615;0.0
27456;7;1261;1466;0.0
27596;16;233;216;0.0
28177;37;61;201;0.0
27510;49;730;1334;0.0
27979;5;56;200;0.0
27898;14;867;1564;0.0
28592;19;603;1979;0.0
28576;8;202;567;0.0
27677;29;54;60;0.0
27995;27;319;313;0.0
28312;28;93;151;0.0
27294;20;408;584;0.0
27430;8;325;411;0.0
27952;48;465;889;0.0
28690;17;1168;2219;0.0
27111;26;252;523;0.0
27790;34;405;1022;0.0
27332;6;392;1071;0.0
28010;12;737;1465;0.0
27472;40;1244;2921;0.0
28878;5;534;419;0.0
27855;54;8396;11534;0.0
28690;17;1450;1696;0.0
27898;14;2149;2056;0.0
27456;7;2203;3988;0.0
27855;54;3326;9880;0.0
27472;40;747;2078;0.0
28410;40;301;1054;0.0
28193;19;96;137;0.0
28797;48;183;126;0.0
27111;26;305;453;0.0
28177;37;115;363;0.0
28754;49;516;1155;0.0
28550;18;82;335;0.0
28037;9;375;238;0.0
28614;21;412;692;0.0
27030;48;473;1080;0.0
28533;15;3914;5367;0.0
27553;53;244;827;0.0
27081;53;216;362;0.0
27006;17;605;757;0.0
27790;34;638;391;0.0
28070;29;82;108;0.0
27855;33;4685;4300;0.0
28916;51;114;409;0.0
27855;1;4116;8090;0.0
27375;28;126;629;0.0
28630;37;203;86;0.0
27375;28;160;501;0.0
28010;12;961;1248;0.0
28150;40;164;545;0.0
27081;53;139;322;0.0
28215;50;166;169;0.0
27073;6;1118;611;0.0
27430;8;126;348;0.0
27898;14;1669;2418;0.0
28878;5;628;481;0.0
27715;14;195;132;0.0
27790;34;899;1383;0.0
27456;7;1209;1209;0.0
28835;20;249;333;0.0
27715;14;376;646;0.0
28479;12;241;164;0.0
27677;29;120;257;0.0
27472;40;1453;2496;0.0
27170;29;112;320;0.0
27049;46;389;1024;0.0
27499;46;131;134;0.0
27235;46;106;123;0.0
27855;2;5673;5559;0.0
28096;9;528;1473;0.0
27812;44;589;1124;0.0
27855;1;2541;6860;0.0
27014;39;212;221;0.0
27219;9;257;600;0.0
27006;17;498;991;0.0
28797;48;239;416;0.0
28690;17;1019;615;0.0
28932;34;1134;2455;0.0
28193;19;97;154;0.0
27570;44;496;1599;0.0
27774;14;59;224;0.0
28290;12;362;290;0.0
27057;22;2949;2070;0.0
27596;16;498;991;0.0
28495;37;563;336;0.0
28479;12;406;551;0.0
28436;50;194;795;0.0
27596;16;372;238;0.0
28053;46;62;306;0.0
28258;10;1136;3586;0.0
27138;29;124;528;0.0
27219;9;155;517;0.0
28894;31;561;327;0.0
27057;22;5314;7026;0.0
27456;7;2945;3732;0.0
28215;50;198;623;0.0
28916;51;148;103;0.0
27090;17;322;238;0.0
27090;17;714;886;0.0
28339;13;2326;2721;0.0
27910;50;355;709;0.0
27316;27;259;934;0.0
27995;27;316;1314;0.0
27278;47;781;599;0.0
28096;9;797;430;0.0
28517;28;238;203;0.0
28711;18;1237;1091;0.0
27057;22;3487;6914;0.0
27197;48;879;1555;0.0
28118;53;314;820;0.0
27634;37;809;471;0.0
28754;49;1282;2153;0.0
27138;29;391;726;0.0
27618;45;644;1719;0.0
27790;34;676;1452;0.0
27855;2;5635;11894;0.0
27553;53;149;599;0.0
28215;50;148;600;0.0
27499;46;93;446;0.0
27111;26;146;479;0.0
27332;6;317;275;0.0
27570;44;932;555;0.0
27570;44;963;623;0.0
27057;22;3419;2373;0.0
27049;46;479;833;0.0
27022;39;199;722;0.0
28452;14;820;1851;0.0
27510;49;552;383;0.0
27413;16;338;307;0.0
28436;50;159;184;0.0
28657;16;601;470;0.0
28797;48;170;137;0.0
28355;13;314;839;0.0
27650;39;240;1194;0.0
28037;9;411;242;0.0
27006;17;223;171;0.0
27715;14;255;170;0.0
27936;26;1215;989;0.0
28398;5;42;184;0.0
27430;8;191;157;0.0
28878;5;449;1237;0.0
27790;34;431;310;0.0
27995;27;254;897;0.0
28010;12;382;1045;0.0
28533;15;3271;2019;0.0
27030;48;562;952;0.0
28355;13;387;429;0.0
28878;5;1163;1735;0.0
27073;6;777;478;0.0
27014;39;186;823;0.0
27294;20;227;133;0.0
27499;46;109;126;0.0
27375;28;81;341;0.0
28215;50;82;357;0.0
27006;17;401;279;0.0
27855;3;7688;11411;0.0
28592;19;937;2593;0.0
28495;37;844;1370;0.0
28371;8;1483;2468;0.0
28711;18;1725;3367;0.0
27456;7;863;2838;0.0
27197;48;1031;1390;0.0
27995;27;350;1260;0.0
28258;10;2947;4459;0.0
27057;55;893;3080;0.0
28231;11;48;153;0.0
28134;11;606;1100;0.0
27022;39;210;535;0.0
28134;11;415;1246;0.0
27138;29;170;658;0.0
27758;53;268;256;0.0
27855;3;5743;11885;0.0
28193;19;84;671;0.0
27472;40;1002;878;0.0
27731;44;132;309;0.0
27057;55;1790;3811;0.0
28258;10;1441;1383;0.0
27634;37;601;389;0.0
28312;28;191;491;0.0
28436;50;169;193;0.0
27049;46;151;669;0.0
27014;39;227;1108;0.0
27553;53;331;735;0.0
28410;40;468;559;0.0
27871;31;172;693;0.0
27359;19;88;366;0.0
27855;33;2624;7278;0.0
28371;8;675;1709;0.0
28797;48;86;277;0.0
27278;47;696;574;0.0
27677;29;77;79;0.0
28177;37;133;263;0.0
28916;51;218;606;0.0
27774;14;126;441;0.0
28819;45;253;845;0.0
27065;18;156;122;0.0
27936;26;2485;2908;0.0
28231;11;145;271;0.0
27731;44;81;92;0.0
28690;17;653;412;0.0
27081;53;119;92;0.0
28258;10;1145;1248;0.0
27634;37;1353;1350;0.0
27219;9;231;737;0.0
27391;45;102;413;0.0
27375;28;102;115;0.0
27650;39;213;189;0.0
27510;49;505;1548;0.0
28339;13;1939;3123;0.0
27618;45;612;379;0.0
28150;40;112;388;0.0
27316;27;153;535;0.0
27197;48;758;381;0.0
28053;46;94;400;0.0
28738;12;609;785;0.0
28037;9;483;1115;0.0
27065;18;127;371;0.0
27898;14;1187;674;0.0
28533;15;2404;1514;0.0
28517;28;421;851;0.0
27693;14;182;462;0.0
28398;5;33;25;0.0
28738;12;361;311;0.0
28754;49;992;512;0.0
28398;5;35;38;0.0
27014;39;266;968;0.0
28274;11;491;1449;0.0
28312;28;91;357;0.0
27936;26;1506;1180;0.0
28118;53;179;132;0.0
27472;40;1072;981;0.0
27111;26;197;165;0.0
28592;19;653;718;0.0
27995;27;357;269;0.0
27855;33;6387;8913;0.0
27774;14;109;117;0.0
27855;2;5933;6505;0.0
28614;21;288;179;0.0
28819;45;450;1254;0.0
27537;7;90;74;0.0
28517;28;176;207;0.0
28479;12;306;635;0.0
27812;44;443;267;0.0
27316;27;253;243;0.0
27170;29;81;289;0.0
27413;16;366;370;0.0
28576;8;157;160;0.0
27154;28;211;297;0.0
28339;13;1073;2257;0.0
27855;1;4119;4829;0.0
27090;17;392;313;0.0
27677;29;80;377;0.0
27081;53;173;542;0.0
27235;46;132;573;0.0
28479;12;206;456;0.0
27936;26;1831;3430;0.0
27251;5;369;280;0.0
28711;18;911;2581;0.0
27359;19;109;140;0.0
27057;55;1557;1313;0.0
27871;31;328;314;0.0
28193;19;135;582;0.0
27570;44;1404;2124;0.0
28398;5;33;230;0.0
27537;7;110;300;0.0
27391;45;251;633;0.0
28797;48;185;458;0.0
27855;33;4945;4949;0.0
28339;13;1674;1149;0.0
27952;48;179;629;0.0
27057;55;2823;3945;0.0
28177;37;67;58;0.0
27715;14;473;539;0.0
27030;48;338;272;0.0
27154;28;135;89;0.0
28010;12;419;288;0.0
27065;18;365;462;0.0
28657;16;447;423;0.0
28410;40;480;578;0.0
27871;31;289;282;0.0
27839;47;928;1350;0.0
27871;31;491;976;0.0
27855;2;7170;11352;0.0
27154;28;168;426;0.0
27499;46;150;666;0.0
28851;21;1922;3159;0.0
27170;29;50;372;0.0
28258;10;2353;4760;0.0
28550;18;170;528;0.0
28118;53;202;546;0.0
28290;12;353;229;0.0
27073;6;1181;2767;0.0
27006;17;262;707;0.0
27910;50;147;162;0.0
27014;39;219;246;0.0
27553;53;199;207;0.0
28916;51;140;140;0.0
27979;5;87;76;0.0
27235;46;71;121;0.0
27618;45;894;1480;0.0
28835;20;197;879;0.0
27073;6;548;1831;0.0
27391;45;187;742;0.0
28851;21;1122;1070;0.0
27731;44;85;95;0.0
28274;11;337;331;0.0
27138;29;398;305;0.0
27359;19;127;159;0.0
27170;29;89;70;0.0
28118;53;174;135;0.0
28819;45;383;336;0.0
27022;39;149;458;0.0
27910;50;149;502;0.0
28312;28;115;169;0.0
27359;19;182;505;0.0
28355;13;721;1199;0.0
27294;20;289;737;0.0
28657;16;805;1644;0.0
28614;21;288;197;0.0
28096;9;915;1781;0.0
27910;50;209;654;0.0
27596;16;208;650;0.0
27693;14;112;275;0.0
27537;7;59;206;0.0
28932;34;1589;2445;0.0
27499;46;183;535;0.0
28738;12;502;884;0.0
28851;21;1594;3654;0.0
28371;8;1816;1920;0.0
28711;18;1528;1333;0.0
28894;31;589;295;0.0
28576;8;148;157;0.0
28355;13;347;374;0.0
28550;18;125;99;0.0
27278;47;670;1863;0.0
27979;5;126;248;0.0
